name,latitude,longitude,#
شركة واحد وتسعين للوقود,24.67647,46.82609,143
محطة بترو سما,24.63553,46.80925,144
بترولي,24.6255,46.80655,145
الدريس,24.67979,46.8325,146
أدنوك,24.89647,46.90763,147
الدريس,24.53697,46.77195,148
الدريس,24.68652,46.84498,149
الدريس,24.58583,46.81137,150
بترولي,24.90984,46.92812,151
محطة البريكي للمحروقات 1,24.54842,46.7991,152
محطة العجمي,24.85551,46.92044,153
محطة لتر,24.66394,46.85608,154
Petrol Station,24.60817,46.83088,155
محطة الدريس للبترول,24.54174,46.80288,156
sahel gas station,24.57908,46.82996,157
محطة لؤلؤة الشرق,26.321003242211,44.0455251865917,158
Al Buraiki Gas Station,26.32104,44.04548,159
محطة عبدالعزيز للمحروقات,26.3255,44.02658,160
الدريس,24.89318,46.96405,161
الدريس,25.98931,43.74755,162
مجمع البريكي للمحروقات(ديزل وبنزين),26.24884,43.93924,163
محطة وقود,26.3291,44.01245,164
محطة رحاب,26.2276,43.9111,165
محطة السالمية,26.00246,43.74014,166
محطة,24.55455,46.85735,167
ركن النجمة الأولى,26.3311,44.00678,168
الدريس,26.31851,43.98839,169
الدريس,25.99503,43.72496,170
ساسكو,26.37181,44.04099,171
محطة بترول,26.28704,43.95034,172
محطة إبراهيم المشوح بنزين و ديزل,26.27667,43.93226,173
محطة القمة,26.3075,43.95751,174
محطة الرواف,26.35234,43.99286,175
Rafa Head Office مكتب رافا الرئيسي,26.34434,43.97852,176
الدريس,26.3635,43.9958,177
البترول الذهبي,26.34779,43.97656,178
محطة الدرع للخدمات البترولية,26.31765,43.93606,179
SASCO,26.33874,43.94758,180
محطة نفط,26.37662,43.97075,181
الدريس,26.3492760376606,43.9323349093487,182
محطة بترو ساحلي,24.9756919547397,47.0679023755477,183
محطة وقود,23.57144,45.61414,184
بترو جسور,26.32843,43.88152,185
محطة سڤن پلس,26.12646,43.70622,186
محطه ساسكو,26.3765,43.91154,187
محطة الدريس,25.87657,43.52901,188
محطة اترس,25.84359,43.5106,189
محطه الصيعري,26.42078,43.9119,190
محطة القصر,26.13612,43.66383,191
محطة بنزين,26.41713,43.90021,192
الدريس الادارة الاقليمية للقصيم وحائل,26.41256,43.89431,193
محطه ام شيح,26.78471,44.4656,194
محطة بترول الرياض,23.4997,45.52428,195
محطه وقود الخلود,25.88835,43.49469,196
محطة وقود بترولي,25.02011,47.17916,197
محطة ساسكو,25.89217,43.47839,198
الخميس للوقود,26.0476,43.55824,199
محطة الدغيمان,25.85984,43.46026,200
الدريس,26.41697,43.83485,201
محطة الدريس,26.06517,43.55266,202
محطة موارد التقدم,26.09024,43.53952,203
محطة العنزي,26.76327,44.2007,204
محطة العنزي,26.78146,44.21427,205
محطة محروقات الدريس,26.82597,44.18352,206
محطة وقود بالتنومة,26.86181,44.16438,207
محطة الوطبان للمحروقات,26.50884,43.67943,208
محطة الأجهر,26.87936,44.15738,209
محطة الجواء لـ الخدمات البترولية و التجارية,26.50314,43.63666,210
محطة ريبن,21.33387,39.68378,211
الدريس,24.09906,47.23243,212
SASCO,24.16997,47.29387,213
الدريس,24.1242998520527,47.2683866798445,214
طريق الملك سعود,24.1243,47.26833,215
SASCO,24.14259,47.29619,216
SASCO,24.17381,47.31897,217
SASCO,24.16058,47.3131,218
SASCO,24.14958,47.3133,219
SASCO,24.16575,47.33587,220
محطة وقود الطراق,27.3174911618557,44.5521794242088,221
نجاحات,24.1836238829323,47.4523996540381,222
محطة ساسكو,24.1845095852697,47.458063489042,223
محطة وقود فيضة نومان,24.45507,42.93368,224
محطة بترولات,23.49385,46.88251,225
محطة وقود,23.4793,46.87719,226
محطة وقود وبقالة,27.35015,44.3294,227
محطة سعود هليل الحربي,26.68181,43.3043,228
مجمع الفضلية,27.37979,44.3363,229
محطة 7 بلص المئوية للخدمات البترولية,23.40359,46.85617,230
محطه وقود,27.39428,44.34139,231
محطة وقود الـفـضليه,27.39528,44.33866,232
Aldrees,27.39644,44.33143,233
محطة اورانج,23.3757,46.85262,234
محطة ثادج,25.8586,42.76471,235
Petrol Gas Station محطة بترول,22.7919,45.16602,236
محطة وقود نجمة سهيل,22.65459,45.13809,237
برودان,22.52995,45.07821,238
محطة ابن راجح,22.5287,45.08049,239
المزروعية للتجاره,21.82681,39.73031,240
محطة الدريس للمحروقات,25.82577,42.17707,241
ساسكو,28.06114,45.74307,242
محطة وقود هجرة الطليعة,28.00627,46.74263,243
